	Jour	Annee	Mois	Jour.1	Depart	Arrivee	Pays	Km_jours	Km_cumule	Altitude	Lat_degres	Lat_minutes	Lat_decimale	Lat_radian	Long_degres	Long_minutes	Long_decimale	Long_radian	km_vol_oiseau	km_corde	km_segment	km_cumule	Unnamed: 22	Objet	Lieu	Contexte	Catégorie	Post	Jour xxx	Titre	Unnamed: 30	Poids	Taille	Couleur	Matiere	Origine	Unnamed: 36	Date	Coordonnees
251	252	2013	6	8	Juchitan	Juchitan	Mexico	0	5250	22	16	25.522	16.4254	0.2867	-95	#CHAMP!	#CHAMP!	#CHAMP!	8728.1	8061.8	2.3	20126.9		Cable de cuivre	"Terminal de autobus	 Juchitan"	Arrivée	Carnet de bord	1	Jour 252	"Terminal de autobus	 Juchitan"		0.48	48	14	3	2		vendredi 7 juin 2013	"N 16°26	699' W 95°01	502'"
193	194	2013	4	11	Nouakchott	Nouakchott	Mauritania	0	4655	22	18	5.49	18.0915	0.3158	-15	#CHAMP!	#CHAMP!	#CHAMP!	3496.0	3452.4	1.5	4913.3		Brosse à dent du désert	Cantine du soir	Giboulées Sonores	Carnet de bord	1	Jour 194	Cantine du soir		0.34	62	17	1	1		jeudi 11 avril 2013	"N 18°05	490' W 15°58	618'"
609	610	2014	8	29	Sungai-Petani	Kuala-Perlis	Malaysia	100	9211	23	6	23.94	6.399	0.1117	100	10.938	100.1823	1.7485	10528.9	9371.6	90.7	45365.9		Lego	"Kuala Perlis	 Kangar	 Malaisie"	Dernière ligne droite en Malaisie	Carnet de bord	1	Jour 610	Objectif Thaïlande		1.35	25	12	3	2		vendredi 29 août 2014	"N 06°23	940' E 100°10	938'"
397	398	2013	11	1	La-Paz	La-Paz	Mexico	15	5320	23	24	8.513	24.1419	0.4214	-110	#CHAMP!	#CHAMP!	#CHAMP!	9157.8	8389.9	0.6	23373.6		Porte clef brisé	Place du théâtre de la Paz	Fête des morts	Carnet de bord	1	Jour 398	Place du théâtre de la Paz		1.64	20	14	2	2		vendredi 1 novembre 2013	"N 24°08	513' W 110°19	092'"
396	397	2013	10	31	Mazatlan	La-Paz	Mexico	30	5305	23	24	8.836	24.1473	0.4214	-110	#CHAMP!	#CHAMP!	#CHAMP!	9157.3	8389.6	420.9	23373.0		Fragment de vertèbre de baleine	"Musée de la baleine	 La Paz"	Rencontre fortuite	Carnet de bord	1	Jour 397	"Musée de la baleine	 La Paz"		1.18	46	13	1	1		jeudi 31 octobre 2013	"N 24°08	836' W 110°19	092'"
483	484	2014	1	26	Oakland	Aéroport-SF	U.S.A	0	7136	23	37	37.146	37.6191	0.6566	-122	#CHAMP!	#CHAMP!	#CHAMP!	8711.4	8048.8	15.6	26258.6		Notification d'inspection 	Aéroport San Francisco	Décollage imminent	Carnet de bord	1	Jour 484	Aéroport San Francisco		1.94	164	13	5	2		dimanche 26 janvier 2014	"N 37°37	146' W 122°23	116'"
211	212	2013	4	29	Dakar	Dakar	Senegal	0	5205	23	14	45.482	14.758	0.2576	-17	#CHAMP!	#CHAMP!	#CHAMP!	3894.7	3834.3	0.1	5374.9		Condensateur chimique	"Case-Ba	 Dakar"	Retrouvailles	Carnet de bord	1	Jour 212	"Case-Ba	 Dakar"		0.92	19	9	0	2		lundi 29 avril 2013	"N 14°45	482' W 17°25	711'"
499	500	2014	2	11	Banyuwangi	Banyuwangi	Indonesia	0	7311	23	-8	#CHAMP!	#CHAMP!	#CHAMP!	114	22.216	114.3703	1.9961	12786.4	10747.0	1.7	40769.3		Billet	"Banyuwangi	 Java"	Pas de ftp	Carnet de bord	1	Jour 500	"Banyuwangi	 Java"		0.77	140	0	5	2		mardi 11 février 2014	"S 08°12	966' E 114°22	216'"
217	218	2013	5	5	Dakar	Dakar	Senegal	0	5220	23	14	45.471	14.7579	0.2576	-17	#CHAMP!	#CHAMP!	#CHAMP!	3894.7	3834.4	5.9	5422.8		Graine de Baobab	"Case-Ba	 Dakar"	Ping pong Taxis	Carnet de bord	1	Jour 218	"Case-Ba	 Dakar"		0.37	11	17	1	1		dimanche 5 mai 2013	"N 14°45	471' W 17°25	702'"
226	227	2013	5	14	Dakar	Dakar	Senegal	0	5220	23	14	42.801	14.7134	0.2568	-17	#CHAMP!	#CHAMP!	#CHAMP!	3900.3	3839.7	0.0	5493.4		Boutton	Kër Thiossane	Workshop	Carnet de bord	1	Jour 227	Kër Thiossane		0.19	11	16	3	2		mardi 14 mai 2013	"N 14°42	801' W 17°27	488'"
